Sexo,Casado,Edad,Fumador,Trabajo,Hijos,Localidad,Telefono Casa,Telefono Celular,Correo Electronico,IMSS,Tipo de Sangre,Egreso Preparatoria,Preparotoria,Promedio Preparatoria,Certificado de Conducta,Situación,Periodo,Creditos,Materias Aprobadas,Materias Cursadas
1,No,18.0,No,Si,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,5.0,7.39,REGULAR,4.0,1.0,40.0,9.0,9.0
2,No,18.91,Si,Si,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,5.0,9.19,BUENO,5.0,14.0,400.0,69.0,69.0
H,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,6.0,9.31,BUENO,5.0,13.0,400.0,69.0,69.0
2,Si,25.0,No,Si,4.0,MAZATLÁN,Si,No,Si,No,A+,2005.0,4.0,7.3,REGULAR,4.0,0.0,0.0,0.0,0.0
2,Si,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,9.8,REGULAR,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,No,Si,A+,2005.0,3.0,8.56,REGULAR,5.0,13.0,400.0,69.0,69.0
2,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O-,2005.0,3.0,9.78,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,4.0,9.9,REGULAR,5.0,12.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2003.0,5.0,9.53,BUENO,5.0,15.0,400.0,69.0,69.0
1,Si,19.0,Si,Si,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,6.0,8.54,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,8.74,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.91,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,9.4,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,19.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,3.0,9.15,MALO,5.0,13.0,400.0,69.0,69.0
